Date,Capital financiero - acumulado,Precio por libra,Capital financiero,Ventas,Costos
2040-04-01,196287101248.4931,3693.6546571980093,730093972.2560691,730662262.2560691,568290.0
2040-05-01,197017195220.74927,2061.9061512558956,407308772.9247741,407877062.9247741,568290.0
2040-06-01,197424503993.67407,4863.63987036523,961535220.0167375,962103510.0167375,568290.0
2040-07-01,198386039213.69086,3964.517476280395,783674845.0012015,784243135.0012015,568290.0
2040-08-01,199169714058.69208,3200.4415552350006,632528759.9392247,633097049.9392247,568290.0
2040-09-01,199802242818.63135,3494.5810048433573,690714111.742696,691282401.742696,568290.0
2040-10-01,200492956930.3739,2537.946099897846,501476868.77563226,502045158.77563226,568290.0
2040-11-01,200994433799.14954,3692.1532990365577,729796980.2921438,730365270.2921438,568290.0
2040-12-01,201724230779.4416,3193.651364380668,631185554.7207539,631753844.7207539,568290.0
2041-01-01,202355416334.16235,5162.952049046971,1020743817.9754584,1021312107.9754584,568290.0
2041-02-01,203376160152.13782,1000.1066458847818,197268338.5422689,197836628.5422689,568290.0
2041-03-01,203573428490.68,4147.775370640053,819926102.9275956,820494392.9275956,568290.0
2041-04-01,204393354593.60754,4095.8300549463734,809650512.6516109,810218802.6516109,568290.0
2041-05-01,205203005106.25922,4609.835854638527,911328843.5383189,911897133.5383189,568290.0
2041-06-01,206114333949.79742,4868.330508673367,962463101.1306281,963031391.1306281,568290.0
2041-07-01,207076797050.9281,4103.421019880422,811152123.4209366,811720413.4209366,568290.0
2041-08-01,207887949174.34912,6802.372198100269,1345046587.4726365,1345614877.4726365,568290.0
2041-09-01,209232995761.82166,4368.621548290093,863612907.1224399,864181197.1224399,568290.0
2041-10-01,210096608668.94415,4278.550969781218,845795547.6874536,846363837.6874536,568290.0
2041-11-01,210942404216.63153,4051.393771058642,800860325.4996012,801428615.4996012,568290.0
2041-12-01,211743264542.1311,4971.767060102104,982924457.6138625,983492747.6138625,568290.0
2042-01-01,212726188999.74493,4515.619038220454,892691293.8441586,893259583.8441586,568290.0
2042-02-01,213618880293.58923,2034.2048608675664,401829027.4203844,402397317.4203844,568290.0
2042-03-01,214020709321.00958,3501.3890027830694,692060839.4792405,692629129.4792405,568290.0
2042-04-01,214712770160.48895,3065.707582521889,605876287.4040717,606444577.4040717,568290.0
2042-05-01,215318646447.89313,5280.58878445517,1044014191.411771,1044582481.411771,568290.0
2042-06-01,216362660639.30487,4052.451463891741,801069553.570422,801637843.570422,568290.0
2042-07-01,217163730192.87543,6031.260506643465,1192508717.7413764,1193077007.7413764,568290.0
2042-08-01,218356238910.61682,4653.129879586314,919893074.130065,920461364.130065,568290.0
2042-09-01,219276131984.74677,5234.377332656315,1034872848.4744476,1035441138.4744476,568290.0
2042-10-01,220311004833.2212,4675.332586540186,924285114.4253075,924853404.4253075,568290.0
2042-11-01,221235289947.64655,2595.3073324154,512823811.52118564,513392101.52118564,568290.0
2042-12-01,221748113759.16785,3626.6207211949945,716833618.5214711,717401908.5214711,568290.0
2043-01-01,222464947377.68927,3606.7580464801777,712904472.949266,713472762.949266,568290.0
2043-02-01,223177851850.6385,3715.523891949605,734420046.5701015,734988336.5701015,568290.0
2043-03-01,223912271897.20862,3350.666245918578,662245537.0958761,662813827.0958761,568290.0
2043-04-01,224574517434.30457,6697.587275385343,1324318502.2056465,1324886792.2056465,568290.0
2043-05-01,225898835936.51007,2320.436391404909,458450070.00320226,459018360.00320226,568290.0
2043-06-01,226357286006.51312,3731.874264113884,737654404.1435686,738222694.1435686,568290.0
2043-07-01,227094940410.6568,2298.088682788657,454029346.126927,454597636.126927,568290.0
2043-08-01,227548969756.7838,4026.710853064418,795977660.937121,796545950.937121,568290.0
2043-09-01,228344947417.721,4408.521517527518,871505740.7770838,872074030.7770838,568290.0
2043-10-01,229216453158.498,4946.719174464784,977969596.78278,978537886.78278,568290.0
2043-11-01,230194422755.28082,4870.054351106326,962804103.9391565,963372393.9391565,568290.0
2043-12-01,231157226859.22003,5110.786467195601,1010424655.6322359,1010992945.6322359,568290.0
2044-01-01,232167651514.85236,4775.790894970477,944157328.184397,944725618.184397,568290.0
2044-02-01,233111808843.03687,4652.581975536849,919784690.1988543,920352980.1988543,568290.0
2044-03-01,234031593533.23584,4570.685391738271,903584273.8787466,904152563.8787466,568290.0
2044-04-01,234935177807.11462,1682.4331624819597,332243121.6456778,332811411.6456778,568290.0
2044-05-01,235267420928.76044,4064.7326253280426,803498958.0575722,804067248.0575722,568290.0
2044-06-01,236070919886.818,4638.554537727675,917009845.1214094,917578135.1214094,568290.0
2044-07-01,236987929731.93945,3270.0481274271838,646298021.0710741,646866311.0710741,568290.0
2044-08-01,237634227753.01062,4249.585288168115,840065685.9598622,840633975.9598622,568290.0
2044-09-01,238474293438.9704,4272.8176457500695,844661407.1422129,845229697.1422129,568290.0
2044-10-01,239318954846.11273,5753.659415326646,1137594910.0872064,1138163200.0872064,568290.0
2044-11-01,240456549756.2,3612.4623675353246,714032876.2553699,714601166.2553699,568290.0
2044-12-01,241170582632.4555,3770.143960977927,745224744.6008295,745793034.6008295,568290.0
2045-01-01,241915807377.05634,4349.370465086368,859804743.85057,860373033.85057,568290.0
2045-02-01,242775612120.90704,5183.752453276327,1024858461.0107634,1025426751.0107634,568290.0
2045-03-01,243800470581.9178,5271.989851224509,1042313188.8572795,1042881478.8572795,568290.0
2045-04-01,244842783770.7752,4613.856256772984,912124141.5267264,912692431.5267264,568290.0
2045-05-01,245754907912.302,3953.5127224495204,781497933.7639889,782066223.7639889,568290.0
2045-06-01,246536405846.06604,4712.53580478771,931644488.8473233,932212778.8473233,568290.0
2045-07-01,247468050334.9134,6419.243040669868,1269257689.244474,1269825979.244474,568290.0
2045-08-01,248737308024.15778,5306.316842493243,1049103600.9083844,1049671890.9083844,568290.0
2045-09-01,249786411625.06628,4619.253847649245,913191868.8392123,913760158.8392123,568290.0
2045-10-01,250699603493.9054,4336.153311171879,857190185.5130901,857758475.5130901,568290.0
2045-11-01,251556793679.4184,4867.6939122053545,962337172.461429,962905462.461429,568290.0
2045-12-01,252519130851.87994,3620.793590614612,715680921.5837575,716249211.5837575,568290.0
2046-01-01,253234811773.4638,5257.570314986485,1039460780.6204057,1040029070.6204057,568290.0
2046-02-01,254274272554.08423,5707.633742931897,1128490317.201602,1129058607.201602,568290.0
2046-03-01,255402762871.28577,6447.657489432184,1274878508.5522494,1275446798.5522494,568290.0
2046-04-01,256677641379.838,4168.376880234572,824001401.514833,824569691.514833,568290.0
2046-05-01,257501642781.3529,5455.512693858387,1078616857.667578,1079185147.667578,568290.0
2046-06-01,258580259639.02045,2379.5837150321477,470150329.31240743,470718619.31240743,568290.0
2046-07-01,259050409968.3329,4910.236282747354,970752714.1367663,971321004.1367663,568290.0
2046-08-01,260021162682.46954,5033.558989409901,995147861.0035698,995716151.0035698,568290.0
2046-09-01,261016310543.47296,4417.46652781088,873275202.7479825,873843492.7479825,568290.0
2046-10-01,261889585746.22107,4097.293151657917,809939935.9064549,810508225.9064549,568290.0
2046-11-01,262699525682.12744,4871.334628478306,963057362.6890246,963625652.6890246,568290.0
2046-12-01,263662583044.81635,4209.455521597967,832127394.8235178,832695684.8235178,568290.0
2047-01-01,264494710439.63995,3978.5304156361703,786446822.0593696,787015112.0593696,568290.0
2047-02-01,265281157261.69928,3837.638286768696,758576170.5863713,759144460.5863713,568290.0
2047-03-01,266039733432.28552,2701.1014249481823,533751526.25290596,534319816.25290596,568290.0
2047-04-01,266573484958.53857,5533.083909423965,1093961648.9681528,1094529938.9681528,568290.0
2047-05-01,267667446607.50677,7101.647805836079,1404247951.1302202,1404816241.1302202,568290.0
2047-06-01,269071694558.63715,5121.337822013728,1012511877.5023843,1013080167.5023843,568290.0
2047-07-01,270084206436.1396,5543.183492481454,1095959503.366979,1096527793.366979,568290.0
2047-08-01,271180165939.5066,3177.7374552074725,628037536.3062102,628605826.3062102,568290.0
2047-09-01,271808203475.81274,6210.356170804966,1227936621.8854427,1228504911.8854427,568290.0
2047-10-01,273036140097.69812,4663.768100100095,921997479.3840401,922565769.3840401,568290.0
2047-11-01,273958137577.08228,5433.588204408446,1074279853.115979,1074848143.115979,568290.0
2047-12-01,275032417430.1981,4110.91261521605,812634077.3402532,813202367.3402532,568290.0
2048-01-01,275845051507.5382,4698.0706874533635,928783063.9616166,929351353.9616166,568290.0
2048-02-01,276773834571.5,4992.471640372025,987020145.1816219,987588435.1816219,568290.0
2048-03-01,277760854716.6819,4726.13157681261,934333943.7278636,934902233.7278636,568290.0
2048-04-01,278695188660.4099,4425.256871274346,874816253.68724,875384543.68724,568290.0
2048-05-01,279570004914.09705,3777.7346798911785,746726306.70342,747294596.70342,568290.0
2048-06-01,280316731220.80054,3578.891137488967,707391965.5127835,707960255.5127835,568290.0
2048-07-01,281024123186.31323,4317.766551501938,853552998.8611608,854121288.8611608,568290.0
2048-08-01,281877676185.1743,3044.686670115143,601718024.4262732,602286314.4262732,568290.0
2048-09-01,282479394209.6006,2436.311935526125,481372052.4475458,481940342.4475458,568290.0
2048-10-01,282960766262.0481,7651.432067970759,1513003817.610938,1513572107.610938,568290.0
2048-11-01,284473770079.6592,3717.364908058032,734784228.1516178,735352518.1516178,568290.0
2048-12-01,285208554307.81104,4979.276431672971,984409927.9486158,984978217.9486158,568290.0
2049-01-01,286192964235.75964,4951.346509256085,978884955.4777893,979453245.4777893,568290.0
2049-02-01,287171849191.23755,4065.928616068996,803735543.6026554,804303833.6026554,568290.0
2049-03-01,287975584734.84045,4734.900925823654,936068657.1706688,936636947.1706688,568290.0
2049-04-01,288911653392.01086,4678.620148140441,924935445.1733292,925503735.1733292,568290.0
2049-05-01,289836588837.1842,4171.148367068093,824549644.6581507,825117934.6581507,568290.0
2049-06-01,290661138481.8424,3749.9468796068304,741229448.1978977,741797738.1978977,568290.0
2049-07-01,291402367930.04004,4738.09511867922,936700518.1307569,937268808.1307569,568290.0
2049-08-01,292339068448.17053,3609.209036776611,713389316.89949,713957606.89949,568290.0
2049-09-01,293052457765.06995,3351.127290404431,662336738.8562727,662905028.8562727,568290.0
2049-10-01,293714794503.92615,3882.3351684287077,767417908.0254285,767986198.0254285,568290.0
2049-11-01,294482212411.95166,2447.3615607881175,483557839.95079166,484126129.95079166,568290.0
2049-12-01,294965770251.9022,4743.126081122195,937695720.6445451,938264010.6445451,568290.0
2050-01-01,295903465972.54675,5008.687686874354,990227931.052765,990796221.052765,568290.0
2050-02-01,296893693903.5996,2259.261544360586,446348735.0699354,446917025.0699354,568290.0
2050-03-01,297340042638.6698,5534.435508775514,1094229016.3133757,1094797306.3133757,568290.0
2050-04-01,298434271654.9833,7076.303897121044,1399234532.3364377,1399802822.3364377,568290.0
2050-05-01,299833506187.3197,3832.1456407517494,757489639.8906299,758057929.8906299,568290.0
2050-06-01,300590995827.21045,5438.550462409496,1075261464.8240144,1075829754.8240144,568290.0
2050-07-01,301666257292.03467,4213.09148165424,832846644.1975794,833414934.1975794,568290.0
2050-08-01,302499103936.23206,3883.751097499675,767698000.7883432,768266290.7883432,568290.0
2050-09-01,303266801937.0206,4257.823778907344,841695387.3910369,842263677.3910369,568290.0
2050-10-01,304108497324.4114,4530.3335229823615,895602047.480294,896170337.480294,568290.0
2050-11-01,305004099371.89185,6177.769883093187,1221490548.0350852,1222058838.0350852,568290.0
2050-12-01,306225589919.9271,6079.6486663271835,1202080647.3076706,1202648937.3076706,568290.0
2051-01-01,307427670567.23486,2912.039177823015,575478290.126293,576046580.126293,568290.0
2051-02-01,308003148857.3612,4151.749886134307,820712323.8258446,821280613.8258446,568290.0
2051-03-01,308823861181.1869,5636.168720639224,1114353425.7738163,1114921715.7738163,568290.0
2051-04-01,309938214606.9608,3359.065312099084,663907002.8434461,664475292.8434461,568290.0
2051-05-01,310602121609.80444,4766.37481979354,942294682.2608137,942862972.2608137,568290.0
2051-06-01,311544416292.0652,2561.6952779331214,506174825.0710754,506743115.0710754,568290.0
2051-07-01,312050591117.136,4729.4559598710275,934991558.3322326,935559848.3322326,568290.0
2051-08-01,312985582675.4685,4016.050860662025,793868948.86541,794437238.86541,568290.0
2051-09-01,313779451624.33386,4752.589466380159,939567725.2369914,940136015.2369914,568290.0
2051-10-01,314719019349.5707,2973.0298233885255,587543187.1459725,588111477.1459725,568290.0
2051-11-01,315306562536.7167,4077.0744313652544,805940358.9887345,806508648.9887345,568290.0
